WSBrewMillType_Monitoring_Consumption_CompressedAir_Main,50067,Object
WSBrewMillType_Monitoring_Process,50068,Object
WSBrewMillType_Monitoring_Process_QuantityBrewingWater,50069,Object
WSBrewMillType_Monitoring_Process_QuantityCereal,50070,Object
WSBrewMillType_Monitoring_Process_QuantityDust,50071,Object
WSBrewMillType_Monitoring_Process_QuantityExtract,50072,Object
WSBrewMillType_Monitoring_Process_QuantityGrist,50073,Object
WSBrewMillType_Monitoring_Process_Throughput,50074,Object
WSBrewMillType_Monitoring_Process_QuantityMalt,50075,Object
WSBrewMillType_Monitoring_Process_Temperature,50076,Object
WSBrewMillType_Monitoring_Process_Revolutions,50077,Object
WSBrewMillType_Monitoring_Status,50078,Object
WSBrewMillType_Monitoring_Status_OperatingMode,50079,Object
WSBrewMillType_Monitoring_Status_PackMLBaseStateMachine,50080,Object
WSBrewMillType_Monitoring_Status_PackMLBaseStateMachine_MachineState,50081,Object
WSBrewMillType_Monitoring_Status_PackMLBaseStateMachine_MachineState_ExecuteState,50082,Object
WSBrewMillType_Monitoring_Status_PackMLBaseStateMachine_MachineState_ExecuteState_RunningState,50083,Object
WSBrewMillType_Notifications,50084,Object
WSBrewMashTunType,10008,ObjectType
WSBrewMashTunType_Monitoring,50085,Object
WSBrewMashTunType_Monitoring_Consumption,50086,Object
WSBrewMashTunType_Monitoring_Consumption_Electricity,50087,Object
WSBrewMashTunType_Monitoring_Consumption_Electricity_Main,50088,Object
WSBrewMashTunType_Monitoring_Consumption_Steam,50089,Object
WSBrewMashTunType_Monitoring_Consumption_Steam_Main,50090,Object
WSBrewMashTunType_Monitoring_Consumption_HotWater,50091,Object
WSBrewMashTunType_Monitoring_Consumption_HotWater_Main,50092,Object
WSBrewMashTunType_Monitoring_Consumption_FossilFuel,50093,Object
WSBrewMashTunType_Monitoring_Consumption_FossilFuel_Main,50094,Object
WSBrewMashTunType_Monitoring_Consumption_Additive,50095,Object
WSBrewMashTunType_Monitoring_Consumption_Additive_Main,50096,Object
WSBrewMashTunType_Monitoring_Process,50097,Object
WSBrewMashTunType_Monitoring_Process_pHValueProduct,50098,Object
WSBrewMashTunType_Monitoring_Process_QuantityCereal,50099,Object
WSBrewMashTunType_Monitoring_Process_QuantityMalt,50100,Object
WSBrewMashTunType_Monitoring_Process_Temperature,50101,Object
WSBrewMashTunType_Monitoring_Process_RevolutionsTool,50102,Object
WSBrewMashTunType_Monitoring_Process_IodineNormality,60018,Variable
WSBrewMashTunType_Monitoring_Status,50103,Object
WSBrewMashTunType_Monitoring_Status_OperatingMode,50104,Object
WSBrewMashTunType_Monitoring_Status_PackMLBaseStateMachine,50105,Object
WSBrewMashTunType_Monitoring_Status_PackMLBaseStateMachine_MachineState,50106,Object
WSBrewMashTunType_Monitoring_Status_PackMLBaseStateMachine_MachineState_ExecuteState,50107,Object
WSBrewMashTunType_Monitoring_Status_PackMLBaseStateMachine_MachineState_ExecuteState_RunningState,50108,Object
WSBrewMashTunType_Notifications,50109,Object
WSBrewSpentGrainSiloType,10009,ObjectType
WSBrewSpentGrainSiloType_Monitoring,50110,Object
WSBrewSpentGrainSiloType_Monitoring_Consumption,50111,Object
